"","higher_taxon","family","length_min","length_max","mass_reference","larva_terrestrial","larva_aquatic","adult_terrestrial","adult_aquatic","phytophagous","zoophagous","mycetophagous","saprophagous","detritophagous","coprophagous","phyllophagous","saproxylic","sap_sucking","stem","flower","seed","gall_inducing","miners","roots","not_specified","predator","micropredator","parasite","parasitoid","necrophorous","sub_family","main_feeding_niche_ronquist","main_feeding_habitat_ronquist","class","in_IBA"
"858","Trichoptera","Rhyacophilidae",8,13,"(Arnett 2000)",0,1,1,0,0.2,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,"Predator","Water","Insecta",TRUE
"859","Trichoptera","Sericostomatidae",8,14,"(Picker et al. 2004)",0,1,1,0,0.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,"Saprophagous","Water","Insecta",TRUE
"860","Trichoptera","Stenopsychidae",6,12,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"861","Trichoptera","Tasimiidae",4,6,"(Neboiss 1986)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"862","Trichoptera","Uenoidae",7,9,"(Houghton 2012)",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Water",NA,FALSE
"863","Trichoptera","Xiphocentronidae",3,4,"(Munoz-Quesada & Holzenthal 1997)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"864","Zoraptera",NA,2,3,"(Parker 1982)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"865","Zygentoma","Lepidotrichidae",12,14,"(Arnett 2000)/(Resh & Cardé 2009)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"866","Zygentoma","Lepismatidae",8,20,"(Arnett 2000)",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Temporary habitats","Insecta",TRUE
"867","Zygentoma","Nicoletiidae",4,29,"(Arnett 2000)/(Espinasa et al. 2013)",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,FALSE
"868","Hemiptera","Aphrophoridae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants","Insecta",TRUE
"869","Coleoptera","Alleculidae",NA,NA,NA,1,0,1,0,0.5,0.2,0,0,0.3,0,0,0.4,0,0,0,0,0,0,0.6,0,0,0,1,0,0,NA,NA,"Soil",NA,FALSE
"870","Coleoptera","Apionidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0.2,0.4,0.3,0,0,0.1,0,0,0,0,0,0,NA,"Phytophagous","Plants","Insecta",TRUE
"871","Coleoptera","Aspidiphoridae",NA,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Fungi",NA,FALSE
"872","Coleoptera","Bruchidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"873","Coleoptera","Cerophytidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"874","Coleoptera","Cholevidae",NA,NA,NA,1,0,1,0,0,0.8,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,NA,"Predator",NA,NA,FALSE
"875","Coleoptera","Cimberidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"876","Coleoptera","Cisidae",NA,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Fungi",NA,FALSE
"877","Coleoptera","Colonidae",NA,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Fungi",NA,FALSE
"878","Coleoptera","Colydiidae",NA,NA,NA,1,0,1,0,0.7,0,0.3,0,0,0,0,0.9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"879","Coleoptera","Cybocephalidae",NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Predator",NA,NA,FALSE
"880","Coleoptera","Lagriidae",NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,FALSE
"881","Coleoptera","Leptinidae",NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Predator",NA,NA,FALSE
"882","Coleoptera","Lissomidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"883","Coleoptera","Lophocateridae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"884","Coleoptera","Lyctidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
"885","Coleoptera","Lymexylonidae",NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",NA,FALSE
